Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time
18.0,10,9.896166474497463,False,,,,,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,
18.0,20,42.45540559439726,False,,,,,2024-09-18 03:27:19.460140,2024-09-16 09:00:00,
18.0,30,110.99084529566125,False,,,,,2024-09-20 23:59:27.043064,2024-09-16 09:00:00,
18.0,40,289.6735889670997,False,,,,,2024-09-28 10:40:24.920282,2024-09-16 09:00:00,
20.0,10,7.684565314636188,False,,,,,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,
20.0,20,37.87462441098541,False,,,,,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,
20.0,30,103.55929980215483,False,,,,,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,
20.0,40,282.55327792723295,False,,,,,2024-09-28 03:33:11.800538,2024-09-16 09:00:00,
26.0,10,6.46078536648626,False,,,,,2024-09-16 15:27:38.827319,2024-09-16 09:00:00,
26.0,20,31.809911477547047,False,,,,,2024-09-17 16:48:35.681319,2024-09-16 09:00:00,
26.0,30,81.16030658506637,False,,,,,2024-09-19 18:09:37.103706,2024-09-16 09:00:00,
26.0,40,240.33702821377182,False,,,,,2024-09-26 09:20:13.301570,2024-09-16 09:00:00,
28.0,10,5.925451488105906,False,,,,,2024-09-16 14:55:31.625357,2024-09-16 09:00:00,
28.0,20,28.600573109895578,False,,,,,2024-09-17 13:36:02.063196,2024-09-16 09:00:00,
28.0,30,71.1355582662694,False,,,,,2024-09-19 08:08:08.009759,2024-09-16 09:00:00,
28.0,40,192.68345064690354,False,,,,,2024-09-24 09:41:00.422329,2024-09-16 09:00:00,
32.0,10,2.7867021148445783,False,,,,,2024-09-16 11:47:12.127613,2024-09-16 09:00:00,
32.0,20,21.73779124452033,False,,,,,2024-09-17 06:44:16.048480,2024-09-16 09:00:00,
32.0,30,49.888824446444744,False,,,,,2024-09-18 10:53:19.768007,2024-09-16 09:00:00,
32.0,40,147.9415480854382,False,,,,,2024-09-22 12:56:29.573108,2024-09-16 09:00:00,
18.0,10,7.684565314636188,True,18.0,20.0,0.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,10,7.684565314636188,True,18.0,20.0,1.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,10,7.684565314636188,True,18.0,20.0,2.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,10,7.972696383877025,True,18.0,20.0,3.0,0.288131069240837,2024-09-16 16:58:21.706982,2024-09-16 09:00:00,2024-09-16 09:17:17.271849
18.0,10,8.709093749887955,True,18.0,20.0,4.0,1.0245284352517672,2024-09-16 17:42:32.737500,2024-09-16 09:00:00,2024-09-16 10:01:28.302367
18.0,10,8.933709645466642,True,18.0,20.0,5.0,1.9958547647664506,2024-09-16 17:56:01.354724,2024-09-16 09:00:00,2024-09-16 10:59:45.077153
18.0,10,9.139077624594698,True,18.0,20.0,6.0,3.1809430792268643,2024-09-16 18:08:20.679449,2024-09-16 09:00:00,2024-09-16 12:10:51.395085
18.0,10,9.340736092871257,True,18.0,20.0,7.0,4.567141433576214,2024-09-16 18:20:26.649934,2024-09-16 09:00:00,2024-09-16 13:34:01.709161
18.0,10,9.53722318007913,True,18.0,20.0,8.0,6.148718473408113,2024-09-16 18:32:14.003448,2024-09-16 09:00:00,2024-09-16 15:08:55.386504
18.0,10,9.723687511628738,True,18.0,20.0,9.0,7.924623949797507,2024-09-16 18:43:25.275042,2024-09-16 09:00:00,2024-09-16 16:55:28.646219
18.0,20,37.87462441098541,True,18.0,20.0,0.0,0.0,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,20,37.87462441098541,True,18.0,20.0,1.0,0.0,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,20,37.87462441098541,True,18.0,20.0,2.0,0.0,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,20,38.16275548022625,True,18.0,20.0,3.0,0.288131069240837,2024-09-17 23:09:45.919729,2024-09-16 09:00:00,2024-09-16 09:17:17.271849
18.0,20,38.89915284623718,True,18.0,20.0,4.0,1.0245284352517672,2024-09-17 23:53:56.950246,2024-09-16 09:00:00,2024-09-16 10:01:28.302367
18.0,20,39.123768741815866,True,18.0,20.0,5.0,1.9958547647664506,2024-09-18 00:07:25.567471,2024-09-16 09:00:00,2024-09-16 10:59:45.077153
18.0,20,39.32913672094392,True,18.0,20.0,6.0,3.1809430792268643,2024-09-18 00:19:44.892195,2024-09-16 09:00:00,2024-09-16 12:10:51.395085
18.0,20,39.530795189220484,True,18.0,20.0,7.0,4.567141433576214,2024-09-18 00:31:50.862681,2024-09-16 09:00:00,2024-09-16 13:34:01.709161
18.0,20,39.727282276428355,True,18.0,20.0,8.0,6.148718473408113,2024-09-18 00:43:38.216195,2024-09-16 09:00:00,2024-09-16 15:08:55.386504
18.0,20,39.91374660797796,True,18.0,20.0,9.0,7.924623949797507,2024-09-18 00:54:49.487789,2024-09-16 09:00:00,2024-09-16 16:55:28.646219
18.0,20,40.086225570846686,True,18.0,20.0,10.0,9.896166474497463,2024-09-18 01:05:10.412055,2024-09-16 09:00:00,2024-09-16 18:53:46.199308
18.0,20,40.244577796203615,True,18.0,20.0,11.0,12.06530209193749,2024-09-18 01:14:40.480066,2024-09-16 09:00:00,2024-09-16 21:03:55.087531
18.0,20,40.39356804823036,True,18.0,20.0,12.0,14.434048270882329,2024-09-18 01:23:36.844974,2024-09-16 09:00:00,2024-09-16 23:26:02.573775
18.0,20,40.542084300227074,True,18.0,20.0,13.0,17.005201454903037,2024-09-18 01:32:31.503481,2024-09-16 09:00:00,2024-09-17 02:00:18.725238
18.0,20,40.70159755819234,True,18.0,20.0,14.0,19.78424596725867,2024-09-18 01:42:05.751209,2024-09-16 09:00:00,2024-09-17 04:47:03.285482
18.0,20,40.88588671517504,True,18.0,20.0,15.0,22.78233041808332,2024-09-18 01:53:09.192175,2024-09-16 09:00:00,2024-09-17 07:46:56.389505
18.0,20,41.11086968898745,True,18.0,20.0,16.0,26.02042729552695,2024-09-18 02:06:39.130880,2024-09-16 09:00:00,2024-09-17 11:01:13.538264
18.0,20,41.38931551573781,True,18.0,20.0,17.0,29.53472084141339,2024-09-18 02:23:21.535857,2024-09-16 09:00:00,2024-09-17 14:32:04.995029
18.0,20,41.72055779036702,True,18.0,20.0,18.0,33.38263841759109,2024-09-18 02:43:14.008045,2024-09-16 09:00:00,2024-09-17 18:22:57.498303
18.0,20,42.08557590491792,True,18.0,20.0,19.0,37.649054871715364,2024-09-18 03:05:08.073258,2024-09-16 09:00:00,2024-09-17 22:38:56.597538
18.0,30,103.55929980215483,True,18.0,20.0,0.0,0.0,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,30,103.55929980215483,True,18.0,20.0,1.0,0.0,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,30,103.55929980215483,True,18.0,20.0,2.0,0.0,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,30,103.84743087139566,True,18.0,20.0,3.0,0.288131069240837,2024-09-20 16:50:50.751137,2024-09-16 09:00:00,2024-09-16 09:17:17.271849
18.0,30,104.58382823740659,True,18.0,20.0,4.0,1.0245284352517672,2024-09-20 17:35:01.781655,2024-09-16 09:00:00,2024-09-16 10:01:28.302367
18.0,30,104.80844413298527,True,18.0,20.0,5.0,1.9958547647664506,2024-09-20 17:48:30.398879,2024-09-16 09:00:00,2024-09-16 10:59:45.077153
18.0,30,105.01381211211333,True,18.0,20.0,6.0,3.1809430792268643,2024-09-20 18:00:49.723604,2024-09-16 09:00:00,2024-09-16 12:10:51.395085
18.0,30,105.21547058038989,True,18.0,20.0,7.0,4.567141433576214,2024-09-20 18:12:55.694089,2024-09-16 09:00:00,2024-09-16 13:34:01.709161
18.0,30,105.41195766759776,True,18.0,20.0,8.0,6.148718473408113,2024-09-20 18:24:43.047603,2024-09-16 09:00:00,2024-09-16 15:08:55.386504
18.0,30,105.59842199914738,True,18.0,20.0,9.0,7.924623949797507,2024-09-20 18:35:54.319197,2024-09-16 09:00:00,2024-09-16 16:55:28.646219
18.0,30,105.7709009620161,True,18.0,20.0,10.0,9.896166474497463,2024-09-20 18:46:15.243463,2024-09-16 09:00:00,2024-09-16 18:53:46.199308
18.0,30,105.92925318737304,True,18.0,20.0,11.0,12.06530209193749,2024-09-20 18:55:45.311475,2024-09-16 09:00:00,2024-09-16 21:03:55.087531
18.0,30,106.07824343939977,True,18.0,20.0,12.0,14.434048270882329,2024-09-20 19:04:41.676382,2024-09-16 09:00:00,2024-09-16 23:26:02.573775
18.0,30,106.2267596913965,True,18.0,20.0,13.0,17.005201454903037,2024-09-20 19:13:36.334889,2024-09-16 09:00:00,2024-09-17 02:00:18.725238
18.0,30,106.38627294936175,True,18.0,20.0,14.0,19.78424596725867,2024-09-20 19:23:10.582618,2024-09-16 09:00:00,2024-09-17 04:47:03.285482
18.0,30,106.57056210634445,True,18.0,20.0,15.0,22.78233041808332,2024-09-20 19:34:14.023583,2024-09-16 09:00:00,2024-09-17 07:46:56.389505
18.0,30,106.79554508015687,True,18.0,20.0,16.0,26.02042729552695,2024-09-20 19:47:43.962289,2024-09-16 09:00:00,2024-09-17 11:01:13.538264
18.0,30,107.07399090690723,True,18.0,20.0,17.0,29.53472084141339,2024-09-20 20:04:26.367265,2024-09-16 09:00:00,2024-09-17 14:32:04.995029
18.0,30,107.40523318153643,True,18.0,20.0,18.0,33.38263841759109,2024-09-20 20:24:18.839454,2024-09-16 09:00:00,2024-09-17 18:22:57.498303
18.0,30,107.77025129608732,True,18.0,20.0,19.0,37.649054871715364,2024-09-20 20:46:12.904666,2024-09-16 09:00:00,2024-09-17 22:38:56.597538
18.0,30,108.14008098556667,True,18.0,20.0,20.0,42.45540559439726,2024-09-20 21:08:24.291548,2024-09-16 09:00:00,2024-09-18 03:27:19.460140
18.0,30,108.51012704670077,True,18.0,20.0,21.0,47.990175796298715,2024-09-20 21:30:36.457368,2024-09-16 09:00:00,2024-09-18 08:59:24.632867
18.0,30,108.95785183453211,True,18.0,20.0,22.0,54.551912274762536,2024-09-20 21:57:28.266604,2024-09-16 09:00:00,2024-09-18 15:33:06.884189
18.0,30,109.38909182419519,True,18.0,20.0,23.0,62.28163418084479,2024-09-20 22:23:20.730567,2024-09-16 09:00:00,2024-09-18 23:16:53.883051
18.0,30,110.30567471659992,True,18.0,20.0,24.0,71.83174785884245,2024-09-20 23:18:20.428980,2024-09-16 09:00:00,2024-09-19 08:49:54.292292
18.0,30,113.59920716771269,True,18.0,20.0,25.0,84.57799373243066,2024-09-21 02:35:57.145804,2024-09-16 09:00:00,2024-09-19 21:34:40.777437
18.0,30,116.61066041180393,True,18.0,20.0,26.0,96.2700498177316,2024-09-21 05:36:38.377482,2024-09-16 09:00:00,2024-09-20 09:16:12.179344
18.0,30,115.82151339040924,True,18.0,20.0,27.0,102.07302776807022,2024-09-21 04:49:17.448205,2024-09-16 09:00:00,2024-09-20 15:04:22.899965
18.0,30,114.23625604883021,True,18.0,20.0,28.0,105.29135690259626,2024-09-21 03:14:10.521776,2024-09-16 09:00:00,2024-09-20 18:17:28.884849
18.0,30,112.63349332840126,True,18.0,20.0,29.0,107.87294772423077,2024-09-21 01:38:00.575982,2024-09-16 09:00:00,2024-09-20 20:52:22.611807
18.0,40,282.55327792723295,True,18.0,20.0,0.0,0.0,2024-09-28 03:33:11.800538,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,40,282.55327792723295,True,18.0,20.0,1.0,0.0,2024-09-28 03:33:11.800538,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,40,282.55327792723295,True,18.0,20.0,2.0,0.0,2024-09-28 03:33:11.800538,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,40,282.8414089964738,True,18.0,20.0,3.0,0.288131069240837,2024-09-28 03:50:29.072387,2024-09-16 09:00:00,2024-09-16 09:17:17.271849
18.0,40,283.5778063624847,True,18.0,20.0,4.0,1.0245284352517672,2024-09-28 04:34:40.102905,2024-09-16 09:00:00,2024-09-16 10:01:28.302367
18.0,40,283.8024222580634,True,18.0,20.0,5.0,1.9958547647664506,2024-09-28 04:48:08.720129,2024-09-16 09:00:00,2024-09-16 10:59:45.077153
18.0,40,284.00779023719144,True,18.0,20.0,6.0,3.1809430792268643,2024-09-28 05:00:28.044854,2024-09-16 09:00:00,2024-09-16 12:10:51.395085
18.0,40,284.20944870546805,True,18.0,20.0,7.0,4.567141433576214,2024-09-28 05:12:34.015340,2024-09-16 09:00:00,2024-09-16 13:34:01.709161
18.0,40,284.4059357926759,True,18.0,20.0,8.0,6.148718473408113,2024-09-28 05:24:21.368854,2024-09-16 09:00:00,2024-09-16 15:08:55.386504
18.0,40,284.5924001242255,True,18.0,20.0,9.0,7.924623949797507,2024-09-28 05:35:32.640447,2024-09-16 09:00:00,2024-09-16 16:55:28.646219
18.0,40,284.76487908709424,True,18.0,20.0,10.0,9.896166474497463,2024-09-28 05:45:53.564714,2024-09-16 09:00:00,2024-09-16 18:53:46.199308
18.0,40,284.92323131245115,True,18.0,20.0,11.0,12.06530209193749,2024-09-28 05:55:23.632725,2024-09-16 09:00:00,2024-09-16 21:03:55.087531
18.0,40,285.0722215644779,True,18.0,20.0,12.0,14.434048270882329,2024-09-28 06:04:19.997632,2024-09-16 09:00:00,2024-09-16 23:26:02.573775
18.0,40,285.22073781647464,True,18.0,20.0,13.0,17.005201454903037,2024-09-28 06:13:14.656139,2024-09-16 09:00:00,2024-09-17 02:00:18.725238
18.0,40,285.3802510744399,True,18.0,20.0,14.0,19.78424596725867,2024-09-28 06:22:48.903868,2024-09-16 09:00:00,2024-09-17 04:47:03.285482
18.0,40,285.5645402314226,True,18.0,20.0,15.0,22.78233041808332,2024-09-28 06:33:52.344833,2024-09-16 09:00:00,2024-09-17 07:46:56.389505
18.0,40,285.78952320523496,True,18.0,20.0,16.0,26.02042729552695,2024-09-28 06:47:22.283539,2024-09-16 09:00:00,2024-09-17 11:01:13.538264
18.0,40,286.06796903198534,True,18.0,20.0,17.0,29.53472084141339,2024-09-28 07:04:04.688515,2024-09-16 09:00:00,2024-09-17 14:32:04.995029
18.0,40,286.3992113066146,True,18.0,20.0,18.0,33.38263841759109,2024-09-28 07:23:57.160704,2024-09-16 09:00:00,2024-09-17 18:22:57.498303
18.0,40,286.76422942116545,True,18.0,20.0,19.0,37.649054871715364,2024-09-28 07:45:51.225916,2024-09-16 09:00:00,2024-09-17 22:38:56.597538
18.0,40,287.1340591106448,True,18.0,20.0,20.0,42.45540559439726,2024-09-28 08:08:02.612798,2024-09-16 09:00:00,2024-09-18 03:27:19.460140
18.0,40,287.5041051717789,True,18.0,20.0,21.0,47.990175796298715,2024-09-28 08:30:14.778618,2024-09-16 09:00:00,2024-09-18 08:59:24.632867
18.0,40,287.9518299596102,True,18.0,20.0,22.0,54.551912274762536,2024-09-28 08:57:06.587855,2024-09-16 09:00:00,2024-09-18 15:33:06.884189
18.0,40,288.3830699492733,True,18.0,20.0,23.0,62.28163418084479,2024-09-28 09:22:59.051817,2024-09-16 09:00:00,2024-09-18 23:16:53.883051
18.0,40,289.29965284167804,True,18.0,20.0,24.0,71.83174785884245,2024-09-28 10:17:58.750230,2024-09-16 09:00:00,2024-09-19 08:49:54.292292
18.0,40,292.59318529279085,True,18.0,20.0,25.0,84.57799373243066,2024-09-28 13:35:35.467054,2024-09-16 09:00:00,2024-09-19 21:34:40.777437
18.0,40,295.6046385368821,True,18.0,20.0,26.0,96.2700498177316,2024-09-28 16:36:16.698733,2024-09-16 09:00:00,2024-09-20 09:16:12.179344
18.0,40,294.8154915154874,True,18.0,20.0,27.0,102.07302776807022,2024-09-28 15:48:55.769456,2024-09-16 09:00:00,2024-09-20 15:04:22.899965
18.0,40,293.23023417390834,True,18.0,20.0,28.0,105.29135690259626,2024-09-28 14:13:48.843026,2024-09-16 09:00:00,2024-09-20 18:17:28.884849
18.0,40,291.62747145347936,True,18.0,20.0,29.0,107.87294772423077,2024-09-28 12:37:38.897233,2024-09-16 09:00:00,2024-09-20 20:52:22.611807
18.0,40,289.98482342073936,True,18.0,20.0,30.0,110.99084529566125,2024-09-28 10:59:05.364315,2024-09-16 09:00:00,2024-09-20 23:59:27.043064
18.0,40,288.24775623608946,True,18.0,20.0,31.0,115.76405041278879,2024-09-28 09:14:51.922450,2024-09-16 09:00:00,2024-09-21 04:45:50.581486
18.0,40,286.8554255040053,True,18.0,20.0,32.0,123.8251431211036,2024-09-28 07:51:19.531814,2024-09-16 09:00:00,2024-09-21 12:49:30.515236
18.0,40,287.6835132908815,True,18.0,20.0,33.0,137.7864833021958,2024-09-28 08:41:00.647847,2024-09-16 09:00:00,2024-09-22 02:47:11.339888
18.0,40,288.6936008682936,True,18.0,20.0,34.0,155.35943949414428,2024-09-28 09:41:36.963126,2024-09-16 09:00:00,2024-09-22 20:21:33.982179
18.0,40,289.33445932062557,True,18.0,20.0,35.0,175.25592284155806,2024-09-28 10:20:04.053554,2024-09-16 09:00:00,2024-09-23 16:15:21.322230
18.0,40,289.60930484906055,True,18.0,20.0,36.0,196.77623478476397,2024-09-28 10:36:33.497457,2024-09-16 09:00:00,2024-09-24 13:46:34.445225
18.0,40,289.6137293983881,True,18.0,20.0,37.0,219.39112013738847,2024-09-28 10:36:49.425834,2024-09-16 09:00:00,2024-09-25 12:23:28.032495
18.0,40,289.5035164009523,True,18.0,20.0,38.0,242.65295719279973,2024-09-28 10:30:12.659043,2024-09-16 09:00:00,2024-09-26 11:39:10.645894
18.0,40,289.4689691501167,True,18.0,20.0,39.0,266.18066264341746,2024-09-28 10:28:08.288940,2024-09-16 09:00:00,2024-09-27 11:10:50.385516
20.0,10,9.896166474497463,True,20.0,18.0,0.0,0.0,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,10,9.896166474497463,True,20.0,18.0,1.0,0.0,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,10,9.896166474497463,True,20.0,18.0,2.0,0.0,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,10,9.608035405256626,True,20.0,18.0,3.0,0.0,2024-09-16 18:36:28.927459,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,10,8.871638039245695,True,20.0,18.0,4.0,0.0,2024-09-16 17:52:17.896941,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,10,8.647022143667009,True,20.0,18.0,5.0,0.7467104339359967,2024-09-16 17:38:49.279717,2024-09-16 09:00:00,2024-09-16 09:44:48.157562
20.0,10,8.441654164538953,True,20.0,18.0,6.0,1.7264307692683545,2024-09-16 17:26:29.954992,2024-09-16 09:00:00,2024-09-16 10:43:35.150769
20.0,10,8.239995696262394,True,20.0,18.0,7.0,2.9109706553411456,2024-09-16 17:14:23.984507,2024-09-16 09:00:00,2024-09-16 11:54:39.494359
20.0,10,8.043508609054522,True,20.0,18.0,8.0,4.296060607965172,2024-09-16 17:02:36.630993,2024-09-16 09:00:00,2024-09-16 13:17:45.818189
20.0,10,7.857044277504913,True,20.0,18.0,9.0,5.885501752804958,2024-09-16 16:51:25.359399,2024-09-16 09:00:00,2024-09-16 14:53:07.806310
20.0,20,42.45540559439726,True,20.0,18.0,0.0,0.0,2024-09-18 03:27:19.460140,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,20,42.45540559439726,True,20.0,18.0,1.0,0.0,2024-09-18 03:27:19.460140,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,20,42.45540559439726,True,20.0,18.0,2.0,0.0,2024-09-18 03:27:19.460140,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,20,42.16727452515643,True,20.0,18.0,3.0,0.0,2024-09-18 03:10:02.188291,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,20,41.430877159145496,True,20.0,18.0,4.0,0.0,2024-09-18 02:25:51.157773,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,20,41.20626126356681,True,20.0,18.0,5.0,0.7467104339359967,2024-09-18 02:12:22.540549,2024-09-16 09:00:00,2024-09-16 09:44:48.157562
20.0,20,41.00089328443875,True,20.0,18.0,6.0,1.7264307692683545,2024-09-18 02:00:03.215824,2024-09-16 09:00:00,2024-09-16 10:43:35.150769
20.0,20,40.7992348161622,True,20.0,18.0,7.0,2.9109706553411456,2024-09-18 01:47:57.245338,2024-09-16 09:00:00,2024-09-16 11:54:39.494359
20.0,20,40.60274772895433,True,20.0,18.0,8.0,4.296060607965172,2024-09-18 01:36:09.891824,2024-09-16 09:00:00,2024-09-16 13:17:45.818189
20.0,20,40.41628339740471,True,20.0,18.0,9.0,5.885501752804958,2024-09-18 01:24:58.620231,2024-09-16 09:00:00,2024-09-16 14:53:07.806310
20.0,20,40.24380443453599,True,20.0,18.0,10.0,7.684565314636188,2024-09-18 01:14:37.695964,2024-09-16 09:00:00,2024-09-16 16:41:04.435133
20.0,20,40.08545220917905,True,20.0,18.0,11.0,9.695348706719283,2024-09-18 01:05:07.627953,2024-09-16 09:00:00,2024-09-16 18:41:43.255344
20.0,20,39.93646195715232,True,20.0,18.0,12.0,11.915104633637384,2024-09-18 00:56:11.263046,2024-09-16 09:00:00,2024-09-16 20:54:54.376681
20.0,20,39.78794570515561,True,20.0,18.0,13.0,14.337741565661378,2024-09-18 00:47:16.604539,2024-09-16 09:00:00,2024-09-16 23:20:15.869636
20.0,20,39.628432447190335,True,20.0,18.0,14.0,16.95727282005174,2024-09-18 00:37:42.356810,2024-09-16 09:00:00,2024-09-17 01:57:26.182152
20.0,20,39.444143290207634,True,20.0,18.0,15.0,19.77106811389369,2024-09-18 00:26:38.915845,2024-09-16 09:00:00,2024-09-17 04:46:15.845210
20.0,20,39.219160316395225,True,20.0,18.0,16.0,22.784182017524913,2024-09-18 00:13:08.977139,2024-09-16 09:00:00,2024-09-17 07:47:03.055263
20.0,20,38.94071448964486,True,20.0,18.0,17.0,26.020029736660987,2024-09-17 23:56:26.572163,2024-09-16 09:00:00,2024-09-17 11:01:12.107052
20.0,20,38.60947221501566,True,20.0,18.0,18.0,29.536705038209483,2024-09-17 23:36:34.099974,2024-09-16 09:00:00,2024-09-17 14:32:12.138138
20.0,20,38.24445410046476,True,20.0,18.0,19.0,33.43810337778286,2024-09-17 23:14:40.034762,2024-09-16 09:00:00,2024-09-17 18:26:17.172160
20.0,30,110.99084529566125,True,20.0,18.0,0.0,0.0,2024-09-20 23:59:27.043064,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,30,110.99084529566125,True,20.0,18.0,1.0,0.0,2024-09-20 23:59:27.043064,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,30,110.99084529566125,True,20.0,18.0,2.0,0.0,2024-09-20 23:59:27.043064,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,30,110.70271422642041,True,20.0,18.0,3.0,0.0,2024-09-20 23:42:09.771215,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,30,109.96631686040948,True,20.0,18.0,4.0,0.0,2024-09-20 22:57:58.740697,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
20.0,30,109.7417009648308,True,20.0,18.0,5.0,0.7467104339359967,2024-09-20 22:44:30.123473,2024-09-16 09:00:00,2024-09-16 09:44:48.157562
20.0,30,109.53633298570273,True,20.0,18.0,6.0,1.7264307692683545,2024-09-20 22:32:10.798749,2024-09-16 09:00:00,2024-09-16 10:43:35.150769
20.0,30,109.33467451742618,True,20.0,18.0,7.0,2.9109706553411456,2024-09-20 22:20:04.828263,2024-09-16 09:00:00,2024-09-16 11:54:39.494359
20.0,30,109.13818743021831,True,20.0,18.0,8.0,4.296060607965172,2024-09-20 22:08:17.474749,2024-09-16 09:00:00,2024-09-16 13:17:45.818189
20.0,30,108.9517230986687,True,20.0,18.0,9.0,5.885501752804958,2024-09-20 21:57:06.203155,2024-09-16 09:00:00,2024-09-16 14:53:07.806310
20.0,30,108.77924413579997,True,20.0,18.0,10.0,7.684565314636188,2024-09-20 21:46:45.278889,2024-09-16 09:00:00,2024-09-16 16:41:04.435133
